"gen","AllC","AllD","Random","TitForTat","SuspiciousTFT","GenerousTFT","TitFor2Tats","2TitsForTat","Grim","Pavlov","Gradual","ZD-Extort-2","ZD-Generous"
2101,0.1107027333728549,0.0002194251071733578,0.00029817672996496146,0.11353668073686524,0.00030097178864936546,0.12314528533724578,0.11789610744841167,0.09779909458278697,0.10271058927351003,0.10668628684092765,0.10270153129098446,0.00020873729276284995,0.12379438019786282
2121,0.11070605650119235,0.00021943051540468698,0.00029819488421184144,0.11353647585131932,0.0003009889337796918,0.12315330431696328,0.11790036874507483,0.09779318804032909,0.10270313923985605,0.10668365095951975,0.10269415750862614,0.000208743149071621,0.1238023013546511
2141,0.11070932736856678,0.000219435846945911,0.0002982127964844041,0.11353626974616265,0.00030100585603122797,0.1231612253782377,0.11790457301909037,0.09778735868543591,0.10269578897797028,0.10668104380382061,0.10268688232150877,0.0002087489278854296,0.12381012727185985
2161,0.11071254678276561,0.00021944110288595883,0.0002982304699966833,0.11353606248677074,0.00030102255829086977,0.12316904971494073,0.1179087210312654,0.0977816055063234,0.1026885371432349,0.10667846507934393,0.10267970440313973,0.0002087546302333184,0.12381785909080867
2181,0.11071571553926673,0.00021944628429835297,0.00029824790792057246,0.11353585413704025,0.0003010390434085789,0.12317677850641032,0.1179128135322872,0.09777592750450445,0.10268138240926135,0.10667591449430623,0.10267262244497657,0.00020876025713067873,0.12382549793918872
2201,0.11071883442142325,0.0002194513922414242,0.00029826511338635833,0.11353564475941724,0.0003010553141978405,0.12318441291762765,0.11791685126285709,0.09777032369461415,0.10267432346764124,0.10667339175960702,0.1026656351561833,0.00020876580957942934,0.12383304493122423
2221,0.11072190420064595,0.00021945642775852362,0.00029828208948324924,0.11353543441492242,0.00030107137343611626,0.12319195409939135,0.11792083495382304,0.09776479310423643,0.10266735902770206,0.10667089658881009,0.10265874126338928,0.0002087712885681936,0.1238405011678333
2241,0.11072492563658325,0.0002194613918782331,0.00029829883925989705,0.11353522316317848,0.000301087223865292,0.12319940318849024,0.11792476532631002,0.09775933477373443,0.10266048781626527,0.10666842869812428,0.1026519395104522,0.00020877669507247455,0.12384786773678605
2261,0.11072789947729761,0.00021946628561457038,0.00029831536572491276,0.11353501106243546,0.00030110286819211914,0.12320676130787317,0.11792864309184899,0.09775394775608161,0.10265370857740776,0.10666598780638431,0.1026452286582233,0.0002087820300548266,0.12385514571286138
2281,0.11073082645944071,0.00021947110996719464,0.00029833167184737703,0.11353479816959583,0.0003011183090886531,0.12321402956681773,0.11793246895250448,0.09774863111669584,0.10264702007222704,0.10666357363503197,0.1026386074843166,0.00020878729446502663,0.12386233615800141
2301,0.11073370730842458,0.00021947586592160607,0.0002983477605573436,0.11353458454024,0.000301133549192685,0.12322120906109665,0.11793624360099962,0.09774338393327572,0.10264042107860936,0.10666118590809699,0.1026320747828809,0.00020879248924024198,0.12386944012146428
2321,0.11073654273859128,0.00021948055444934508,0.0002983636347463363,0.11353437022865047,0.000301148591108168,0.12322830087314099,0.11793996772084005,0.09773820529563891,0.10263391039100106,0.10665882435217793,0.10262562936437519,0.00020879761530519594,0.12387645863997507
2341,0.1107393334533793,0.00021948517650818752,0.00029837929726784227,0.11353415528783588,0.00030116343740564064,0.12323530607220362,0.11794364198643655,0.09773309430556239,0.10262748682018291,0.1066564886964236,0.10261927005534648,0.0002088026735723323,0.12388339273787533
2361,0.11074208014548821,0.00021948973304233762,0.0002983947509377974,0.11353393976955514,0.0003011780906226434,0.12324222571451857,0.11794726706322521,0.09772805007662512,0.10262114919304761,0.10665417867251362,0.10261299569821163,0.00020880766494197646,0.12389024342727027
2381,0.11074478349704027,0.0002194942249826183,0.0002984099985350665,0.11353372372434008,0.0003011925532641313,0.1232490608434596,0.11795084360778668,0.0977230717340528,0.10261489635238047,0.10665189401464009,0.10260680515104138,0.00020881259030249553,0.12389701170817448
2401,0.11074744417973968,0.00021949865324665934,0.0002984250428019178,0.11353350720151897,0.00030120682780288124,0.12325581248969653,0.11795437226796361,0.09771815841456434,0.10260872715664317,0.10664963445948865,0.10260069728734747,0.0002088174505304558,0.12390369856865585
2421,0.11075006285503,0.00021950301873908165,0.0002984398864444928,0.113533290249239,0.00030122091667989507,0.12326248167134976,0.11795785368297647,0.09771330926622064,0.10260264047975964,0.10664739974621965,0.10259467099587286,0.00020882224649077815,0.12391030498497776
2441,0.11075264017424853,0.0002195073223516808,0.0002984545321332685,0.11353307291448801,0.00030123482230479776,0.12326906939414287,0.11796128848353818,0.09770852344827514,0.10259663521090621,0.10664518961644984,0.10258872518038475,0.00020882697903689226,0.12391683192173984
2461,0.1107551767787789,0.000219511564963606,0.0002984689825035154,0.11353285524311664,0.00030124854705622974,0.12327557665155307,0.11796467729196666,0.09770380013102697,0.10259071025430366,0.10664300381423296,0.10258285875947032,0.00020883164901088717,0.1239232803320166
